,discount,features,name,price,ram,rating
44,25% off,"3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.84 cm (5.45 inch) HD+ Display
13MP Rear Camera | 5MP Front Camera
4000 mAh Polymer Battery
MT6739WW Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Yu Ace (Elektric Blue, 32 GB)","₹6,749",none,3.8 
45,none,"3 GB RAM | 32 GB ROM | Expandable Upto 2 TB
15.21 cm (5.99 inch) Full HD+ Display
13MP + 5MP | 8MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 636 Octa Core Processor
Brand Warranty of 1 Year Available for Handset and 6 Months for Accessories
","Asus Zenfone Max Pro M1 (Black, 32 GB)","₹10,999",none,4.3 
46,15% off,"4 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) FHD+ Display
16MP + 2MP | 16MP Front Camera
3260 mAh Li-ion Battery
Qualcomm Snapdragon 450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Vivo V9 Youth (Gold, 32 GB)","₹16,990",none,4.4 
47,33% off,"1 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
5MP Rear Camera | 5MP Front Camera
2400 mAh Lithium-ion Battery
MT6737 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
","Panasonic P90 (Gold, 16 GB)","₹3,999",none,3.9 
48,none,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.21 cm (5.99 inch) Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
Qualcomm SDM450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Honor 7C (Black, 64 GB)","₹12,699",none,4.2 
49,none,"1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
5MP Rear Camera | 2MP Front Camera
2200 mAh Battery
1.3 QUAD CORE PROCESSOR Processor
1 Year Manufacturer warranty of mobile
","I Kall K-1 (Black, 8 GB)","₹3,689",none,3.3 
50,7% off,"NA ROM |
5.08 cm (2 inch) NA Display
800 mAh Battery
1 Year Manufacturer Warranty
",Samsung Guru Music 2,"₹1,625",none,4.3 
51,15% off,"4 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) FHD+ Display
16MP + 2MP | 16MP Front Camera
3260 mAh Li-ion Battery
Qualcomm Snapdragon 450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Vivo V9 Youth (Gold, 32 GB)","₹16,990",none,4.4 
52,none,"4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
12MP + 12MP | 5MP Front Camera
3080 mAh Li-polymer Battery
Qualcomm Snapdragon 625 64 bit Octa Core 2GHz Processor
Android Nougat 7.1.2 | Stock Android Version
Android One Smartphone - With Android Oreo now available
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Mi A1 (Rose Gold, 64 GB)","₹14,998",none,4.4 
53,40% off,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.08MP Rear Camera
1050 mAh Battery
10 Days Replacement Warranty
",Niamia Cad 3,"₹1,950",none,none
54,none,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
2500 mAh Battery
1 Year Warranty
",Fox Sultan,"₹1,099",none,4 
55,none,"4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
12MP + 12MP | 5MP Front Camera
3080 mAh Li-polymer Battery
Qualcomm Snapdragon 625 64 bit Octa Core 2GHz Processor
Android Nougat 7.1.2 | Stock Android Version
Android One Smartphone - With Android Oreo now available
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Mi A1 (Gold, 64 GB)","₹14,750",none,4.4 
56,none,"6 GB RAM | 64 GB ROM |
16.0 cm (6.3 inch) Display
24MP Rear Camera
3700 mAh Battery
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
","Samsung Galaxy A8 Star (Black, 64 GB)","₹32,500",none,4.4 
57,16% off,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) FHD+ Display
16MP + 5MP | 25MP Front Camera
3315 mAh Battery
MediaTek P60 Octa Core 2.0 GHz Processor
Drop Notch Full Screen Display
Fingerprint Sensor
Brand Warranty 1 Year for Mobile
","Vivo V11 (Starry Night Black, 64 GB)","₹20,990",none,4.4 
58,12% off,"NA ROM |
3.81 cm (1.5 inch) NA Display
800 mAh Battery
0 0 0 0 Processor Processor
1 Year for Mobile & 6 Months for Accessories
",Samsung Guru 1200,"₹1,100",none,4.2 
59,40% off,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.08MP Rear Camera
1050 mAh Battery
10 Days Replacement Warranty
",Niamia Cad 3,"₹1,950",none,none
60,5% off,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
13.84 cm (5.45 inch) HD+ Display
12MP + 5MP | 5MP Front Camera
3000 mAh Lithium-polymer Battery
2.0 GHz Mediatek P22 Octacore Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Redmi 6 (Blue, 32 GB)","₹8,499",none,4.4 
61,11% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) FHD+ Display
13MP + 2MP | 16MP Front Camera
3260 mAh Battery
Qualcomm Snapdragon 660AIE 1.95 GHz Octa-core Processor
Notch FullView Display
Fingerprint Sensor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Vivo V9 Pro (Nebula Purple, 64 GB)","₹15,990",none,4.4 
62,none,"4 GB RAM | 64 GB ROM |
13.97 cm (5.5 inch) Full HD Display
13MP + 5MP | 13MP Front Camera
4000 mAh Battery
Helio X23 Deca-core 2.3GHz 64-Bit Processor
1 YEAR
","Lenovo K8 Note (Fine Gold, 64 GB)","₹9,700",none,4 
63,none,"32 MB RAM | 64 MB ROM |
3.56 cm (1.4 inch) Display
1000 mAh Battery
1 Year Manufacturer Warranty
",I Kall K73,₹399,none,3.1 
64,30% off,"32 GB ROM |
10.16 cm (4 inch) Retina Display
12MP Rear Camera | 1.2MP Front Camera
Li-Ion Battery
Apple A9 64-bit processor and Embedded M9 Motion Co-processor
Brand Warranty of 1 Year
","Apple iPhone SE (Silver, 32 GB)","₹17,999",none,4.5 
65,none,"32 MB RAM | 32 MB ROM |
4.57 cm (1.8 inch) Display
0.8MP Rear Camera
1750 mAh Battery
1 Year Manufacturer Warranty
",Micromax X424+,₹795,none,3.9 
66,6% off,"4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
15.21 cm (5.99 inch) Full HD+ Display
12MP + 5MP | 20MP Front Camera
4000 mAh Li Polymer Battery
Qualcomm Snapdragon 636 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Redmi Note 5 Pro (Red, 64 GB)","₹13,999",none,4.5 
67,38% off,"3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
15.21 cm (5.99 inch) HD+ Display
13MP Rear Camera | 8MP Front Camera
4000 mAh Li-polymer Battery
MT6739WA Processor
Big View (18:9) Display
Face Unlock
Fingerprint Sensor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Panasonic Eluga Ray 600 (Black, 32 GB)","₹7,999",none,4.1 
68,none,"24 MB RAM | 24 MB ROM | Expandable Upto 32 GB
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1800 mAh Battery
1 Year Warranty
",InFocus Hero Play M1,₹799,none,4 
69,none,"32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1000 mAh Battery
1 YEAR Warranty Against Manufacturing Defects
",I Kall K3310,₹599,none,3.6 
70,47% off,"2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 8MP + 2MP Dual Front Camera
2400 mAh Li-ion Battery
SC9850 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Intex Indie 6 (Champagne, 16 GB)","₹4,499",none,4 
71,47% off,"2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 8MP + 2MP Dual Front Camera
2400 mAh Li-ion Battery
SC9850 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Intex Indie 6 (Black, 16 GB)","₹4,499",none,4 
72,10% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.24 cm (6 inch) HD+ Display
16MP + 5MP | 16MP Front Camera
3500 mAh Battery
Qualcomm Snapdragon SDM450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Samsung Galaxy J8 (Black, 64 GB)","₹16,990",none,4.4 
73,none,"1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
5MP Rear Camera | 2MP Front Camera
2200 mAh Battery
1.3 QUAD CORE PROCESSOR Processor
1 Year Manufacturer warranty of mobile
","I Kall K-1 (Black, 8 GB)","₹3,689",none,3.3 
74,20% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.24 cm (6 inch) HD+ Display
16MP + 5MP | 16MP Front Camera
3500 mAh Lithium-ion Battery
Qualcomm Snapdragon 450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Samsung Galaxy On8 (Black, 64 GB)","₹15,990",none,4.4 
75,3% off,"8 GB RAM | 256 GB ROM | Expandable Upto 256 GB
15.7 cm (6.18 inch) FHD+ Display
12MP + 5MP | 20MP Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 845 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","POCO F1 by Xiaomi (Armoured Edition, 256 GB)","₹29,999",none,4.6 
76,1% off,"32 GB ROM |
13.97 cm (5.5 inch) Retina HD Display
12MP Rear Camera | 5MP Front Camera
Li-Ion Battery
Apple A9 64-bit processor and Embedded M9 Motion Co-processor
Brand Warranty of 1 Year
","Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹34,499",none,4.4 
77,9% off,"3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 16MP Front Camera
4000 mAh Li-ion Polymer Battery
Qualcomm Snapdragon Octa-core Processor
Notch Full Screen Display
Fingerprint Sensor and Face Unlock
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Infinix Hot S3X (Milan Black, 32 GB)","₹9,999",none,4.2 
78,16% off,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) FHD+ Display
16MP + 5MP | 25MP Front Camera
3315 mAh Battery
MediaTek P60 Octa Core 2.0 GHz Processor
Drop Notch Full Screen Display
Fingerprint Sensor
Brand Warranty 1 Year for Mobile
","Vivo V11 (Nebula Purple, 64 GB)","₹20,990",none,4.4 
79,40% off,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.08MP Rear Camera
1050 mAh Battery
10 Days Replacement Warranty
",Niamia Cad 3,"₹1,950",none,none
80,30% off,"6 GB RAM | 128 GB ROM |
14.83 cm (5.84 inch) Full HD+ Display
24MP + 16MP | 24MP Front Camera
3400 mAh Lithium Polymer Battery
Huawei Kirin 970 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Honor 10 (Midnight Black, 128 GB)","₹24,999",none,4.4 
81,7% off,"NA ROM |
5.08 cm (2 inch) QVGA Display
800 mAh Battery
1 Year Manufacturer Warranty
",Samsung Guru Music 2,"₹1,625",none,4.3 
82,1% off,"32 GB ROM |
11.94 cm (4.7 inch) Retina HD Display
12MP Rear Camera | 5MP Front Camera
Li-Ion Battery
Apple A9 64-bit processor and M9 Motion Co-processor
Brand Warranty of 1 Year
","Apple iPhone 6s (Rose Gold, 32 GB)","₹29,499",none,4.4 
83,40% off,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.08MP Rear Camera
1050 mAh Battery
10 Days Replacement Warranty
",Niamia Cad 3,"₹1,950",none,none
84,none,"32 MB RAM | 64 MB ROM |
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1000 mAh Battery
1 Year Manufacturer Warranty
",I Kall K24 New Combo of Two Mobiles,"₹1,199",none,3.8 
85,none,"4 MB RAM | 4 MB ROM |
4.57 cm (1.8 inch) Display
800 mAh Battery
12 Months
",Nokia Ta -1010/ Nokia 105,"₹1,085",none,4.2 
86,none,"32 MB RAM | 64 MB ROM |
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1000 mAh Battery
1 Year Manufacturer Warranty
",I Kall K25 New Combo of Two Mobiles,"₹1,199",none,3.7 
87,13% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD Display
16MP + 2MP | 16MP Front Camera
3500 mAh Battery
Mediatek Helio P60 Octacore 2.0 GHz Processor
Drop Notch FullView Display
Triple Slot (Dual Active 4G Sims + Dedicated Memory)
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
","OPPO F9 (Mist Black, 64 GB)","₹18,990",none,4.4 
88,none,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.35 cm (5.65 inch) FHD+ Display
13MP + 2MP | 13MP + 2MP Dual Front Camera
3000 mAh Battery
Kirin 659 Processor
Face Unlock
Ride Mode
12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable
","Honor 9 Lite (Glacier Grey, 32 GB)","₹12,000",none,4.3 
89,none,"32 MB RAM | 64 MB ROM |
3.56 cm (1.4 inch) Display
1000 mAh Battery
1 Year Manufacturer Warranty
",I Kall K73,₹399,none,3.1 
90,8% off,"NA ROM |
3.81 cm (1.5 inch) Display
800 mAh Battery
1 year warranty on handset and 6 months warranty on the accessories.
",Samsung Guru FM Plus SM-B110E/D,"₹1,375",none,4.2 
91,none,"4 MB RAM | 4 MB ROM |
4.57 cm (1.8 inch) Display
800 mAh Battery
1 Year Manufacturer Warranty
",Nokia TA-1010/NOKIA 105,"₹1,007",none,4.2 
92,none,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.24 cm (6.0 inch) FHD+ Display
24MP + 5MP + 8MP | 24MP Front Camera
3300 mAh Lithium-ion Battery
Samsung Exynos Octa Core Processor (2.2 GHz) Processor
Glass Design with Side Fingerprint Sensor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Samsung Galaxy A7 (Blue, 64 GB)","₹23,800",none,4.3 
93,none,"32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1000 mAh Battery
1 YEAR Warranty Against Manufacturing Defects
",I Kall K3310,₹599,none,3.6 
94,7% off,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD Display
16MP + 2MP | 25MP Front Camera
3500 mAh Li-polymer Battery
Mediatek Helio P60 Octacore 2.0 GHz Processor
Flash Charge with VOOC
Drop Notch FullView Display
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","OPPO F9 Pro (Sunrise Red, 64 GB)","₹23,990",none,4.5 
95,16% off,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
4230 mAh Battery
Qualcomm Snapdragon 450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","OPPO A3s (Purple, 16 GB)","₹9,990",none,4.3 
